a_x,a_y,a_z,roll,pitch,yaw,timestamp,temp
0.00,-0.00,1.00,0.00,-0.10,0.08,8433,22.84
0.00,-0.00,1.00,0.03,-0.07,0.06,8436,22.84
0.00,-0.00,1.00,0.02,-0.05,0.03,8440,22.83
0.00,0.00,1.00,-0.03,-0.00,0.01,8444,22.83
0.00,0.00,1.00,-0.03,0.01,0.01,8448,22.83
0.00,0.00,1.00,-0.03,-0.00,0.08,8452,22.87
0.00,0.00,1.00,0.00,-0.00,0.08,8456,22.87
0.00,-0.00,1.00,0.05,-0.00,0.03,8459,22.87
0.00,-0.00,1.00,0.05,0.03,-0.00,8463,22.83
0.00,-0.00,1.00,0.02,0.06,-0.00,8467,22.83
0.00,0.00,1.00,0.00,0.06,0.05,8470,22.83
0.00,0.00,1.00,-0.03,0.04,0.11,8474,22.85
0.00,0.00,1.00,-0.04,0.04,0.11,8478,22.85
0.00,0.00,1.00,-0.04,0.06,0.05,8481,22.85
0.00,-0.00,1.00,-0.01,0.06,0.01,8485,22.84
0.00,-0.00,1.00,0.08,0.04,-0.00,8489,22.84
0.00,-0.00,1.00,0.12,0.01,0.01,8493,22.84
0.00,-0.00,1.00,0.14,-0.05,0.06,8497,22.83
0.00,-0.00,1.00,0.12,-0.07,0.08,8501,22.83
-0.00,-0.00,1.00,0.05,-0.05,0.06,8504,22.83
-0.00,0.00,1.00,0.02,-0.05,0.05,8508,22.80
-0.00,0.00,1.00,0.00,-0.05,0.03,8511,22.80
0.00,0.00,1.00,-0.03,-0.03,0.06,8515,22.80
0.00,0.00,1.00,-0.04,-0.02,0.09,8519,22.85
0.00,0.00,1.00,-0.07,0.01,0.12,8522,22.85
0.00,0.00,1.00,-0.07,0.04,0.11,8526,22.85
0.00,0.00,1.00,-0.03,0.04,0.08,8530,22.83
0.00,-0.00,1.00,-0.01,0.03,0.06,8534,22.83
-0.00,-0.00,1.00,0.02,-0.00,0.06,8538,22.83
-0.00,-0.00,1.00,0.03,-0.03,0.08,8542,22.87
-0.00,-0.00,1.00,0.06,-0.05,0.06,8545,22.87
0.00,0.00,1.00,0.06,-0.03,0.05,8549,22.87
0.00,-0.00,1.00,0.03,0.01,0.03,8553,22.82
0.00,-0.00,1.00,0.02,0.04,0.06,8556,22.82
