a_x,a_y,a_z,roll,pitch,yaw,timestamp,temp
-0.00,-0.00,1.00,0.03,0.04,-0.01,8433,22.27
-0.00,-0.00,1.00,0.05,0.04,-0.02,8436,22.27
-0.00,-0.00,1.00,0.05,0.04,-0.02,8440,22.32
0.00,-0.00,1.00,0.05,0.09,-0.02,8444,22.32
0.00,0.00,1.00,0.05,0.11,-0.02,8448,22.32
0.00,0.00,1.00,0.06,0.12,-0.04,8452,22.28
0.00,0.00,1.00,0.06,0.12,-0.05,8456,22.28
-0.00,0.00,1.00,0.06,0.12,-0.10,8459,22.28
0.00,0.00,1.00,0.03,0.14,-0.11,8463,22.30
0.00,-0.00,1.00,-0.01,0.20,-0.07,8467,22.30
0.00,-0.00,1.00,-0.03,0.21,-0.02,8470,22.30
0.00,-0.00,1.00,-0.03,0.23,0.04,8474,22.31
0.00,0.00,1.00,-0.04,0.23,0.04,8478,22.31
0.00,0.00,1.00,-0.10,0.23,0.04,8481,22.31
0.00,0.00,1.00,-0.12,0.21,0.02,8485,22.33
0.00,0.00,1.00,-0.10,0.20,-0.04,8489,22.33
0.00,-0.00,1.00,-0.09,0.18,-0.07,8493,22.33
-0.00,-0.00,1.00,-0.04,0.12,-0.10,8497,22.28
-0.00,-0.00,1.00,-0.01,0.09,-0.10,8501,22.28
-0.00,0.00,1.00,0.00,0.04,-0.08,8504,22.28
-0.00,-0.00,1.00,0.02,0.03,-0.07,8508,22.32
-0.00,-0.00,1.00,0.02,-0.02,-0.05,8512,22.32
-0.00,0.00,1.00,0.02,-0.03,-0.05,8515,22.32
-0.00,0.00,1.00,0.02,-0.09,-0.04,8519,22.27
-0.00,0.00,1.00,0.00,-0.09,-0.02,8523,22.27
0.00,-0.00,1.00,-0.01,-0.09,-0.02,8526,22.27
0.00,-0.00,1.00,0.00,-0.06,-0.05,8530,22.29
0.00,-0.00,1.00,0.00,-0.06,-0.08,8535,22.29
0.00,0.00,1.00,-0.01,-0.12,-0.11,8538,22.29
0.00,0.00,1.00,-0.01,-0.15,-0.10,8542,22.27
-0.00,-0.00,1.00,-0.03,-0.14,-0.05,8546,22.27
-0.00,-0.00,1.00,-0.01,-0.09,-0.02,8549,22.27
0.00,-0.00,1.00,0.02,0.01,0.01,8553,22.31
0.00,-0.00,1.00,0.03,0.06,0.02,8557,22.31
0.00,0.00,1.00,0.03,0.11,0.01,8560,22.31
0.00,0.00,1.00,0.02,0.09,-0.01,8564,22.28
0.00,0.00,1.00,0.00,0.06,-0.04,8568,22.28
0.00,0.00,1.00,-0.01,0.06,-0.05,8571,22.28
0.00,0.00,1.00,0.00,0.08,-0.05,8576,22.29
0.00,-0.00,1.00,0.00,0.11,-0.04,8580,22.29
0.00,0.00,1.00,0.03,0.17,0.01,8583,22.29
0.00,0.00,1.00,0.05,0.20,0.02,8587,22.30
-0.00,0.00,1.00,0.05,0.26,0.04,8591,22.30
-0.00,0.00,1.00,0.05,0.27,0.02,8594,22.30
-0.00,-0.00,1.00,0.03,0.32,0.01,8598,22.28
0.00,-0.00,1.00,0.02,0.32,-0.02,8602,22.28
0.00,-0.00,1.00,-0.01,0.27,-0.05,8605,22.28
0.00,0.00,1.00,0.00,0.24,-0.05,8609,22.34
-0.00,-0.00,1.00,0.03,0.21,-0.02,8612,22.34
0.00,-0.00,1.00,0.03,0.20,-0.01,8616,22.34
-0.00,-0.00,1.00,0.03,0.20,0.01,8621,22.34
-0.00,0.00,1.00,0.03,0.20,0.01,8624,22.34
-0.00,0.00,1.00,0.02,0.17,0.04,8628,22.34
-0.00,0.00,1.00,-0.01,0.12,0.05,8632,22.30
-0.00,0.00,1.00,-0.06,0.01,0.05,8635,22.30
-0.00,-0.00,1.00,-0.07,-0.03,0.02,8639,22.29
-0.00,-0.00,1.00,-0.03,-0.03,-0.01,8643,22.29
0.00,0.00,1.00,0.02,-0.03,-0.01,8646,22.29
0.00,0.00,1.00,0.11,0.03,0.01,8650,22.33
0.00,0.00,1.00,0.13,0.04,0.02,8654,22.33
-0.00,0.00,1.00,0.08,0.06,0.02,8657,22.33
-0.00,0.00,1.00,0.05,0.06,0.01,8662,22.29
-0.00,-0.00,1.00,-0.01,0.04,-0.04,8666,22.29
0.00,-0.00,1.00,-0.01,0.04,-0.05,8669,22.29
0.00,-0.00,1.00,-0.01,0.04,-0.07,8673,22.31
0.00,0.00,1.00,0.02,0.01,-0.07,8677,22.31
0.00,0.00,1.00,0.02,0.01,-0.07,8680,22.31
0.00,0.00,1.00,-0.04,0.03,-0.04,8684,22.29
0.00,0.00,1.00,-0.07,0.04,-0.01,8688,22.29
-0.00,0.00,1.00,-0.10,0.08,0.05,8691,22.29
-0.00,0.00,1.00,-0.10,0.08,0.05,8695,22.28
-0.00,0.00,1.00,-0.03,0.11,0.02,8699,22.28
-0.00,0.00,1.00,0.00,0.11,0.01,8702,22.28
-0.00,0.00,1.00,0.05,0.11,-0.04,8707,22.29
-0.00,-0.00,1.00,0.06,0.08,-0.08,8711,22.29
-0.00,0.00,1.00,0.05,-0.00,-0.13,8714,22.29
-0.00,0.00,1.00,0.02,-0.03,-0.13,8718,22.33
-0.00,0.00,1.00,-0.03,0.04,-0.08,8722,22.33
-0.00,0.00,1.00,-0.03,0.09,-0.07,8725,22.33
-0.00,0.00,1.00,-0.01,0.11,-0.01,8729,22.29
-0.00,-0.00,1.00,0.02,0.06,0.01,8733,22.29
-0.00,0.00,1.00,0.05,-0.05,0.01,8736,22.29
-0.00,0.00,1.00,0.06,-0.03,-0.02,8740,22.32
-0.00,0.00,1.00,0.05,0.09,-0.04,8744,22.32
0.00,0.00,1.00,0.03,0.14,-0.02,8748,22.32
0.00,-0.00,1.00,0.02,0.14,0.01,8752,22.27
0.00,-0.00,1.00,0.00,0.09,0.01,8756,22.27
-0.00,-0.00,1.00,0.00,-0.02,0.01,8759,22.27
-0.00,-0.00,1.00,0.00,-0.05,-0.01,8763,22.28
-0.00,-0.00,1.00,0.02,-0.06,-0.02,8766,22.28
0.00,-0.00,1.00,0.02,-0.03,-0.04,8770,22.28
0.00,-0.00,1.00,0.03,0.03,-0.07,8774,22.30
-0.00,0.00,1.00,0.06,0.03,-0.10,8777,22.30
0.00,0.00,1.01,0.09,-0.00,-0.13,8781,22.30
-0.00,0.00,1.00,0.09,-0.00,-0.11,8785,22.29
-0.00,0.00,1.00,0.06,0.04,-0.05,8788,22.29
-0.00,0.00,1.00,0.06,0.04,-0.04,8793,22.29
0.00,-0.00,1.00,0.09,0.01,-0.04,8797,22.32
0.00,-0.00,1.00,0.09,0.03,-0.04,8800,22.32
-0.00,-0.00,1.00,0.03,0.04,-0.02,8804,22.32
-0.00,0.00,1.00,0.00,0.03,-0.01,8808,22.28
-0.00,0.00,1.00,-0.01,-0.00,0.01,8811,22.28
-0.00,0.00,1.00,0.02,0.01,-0.01,8815,22.28
0.00,0.00,1.00,0.05,0.06,-0.02,8819,22.32
-0.00,0.00,1.00,0.08,0.11,-0.07,8822,22.32
-0.00,0.00,1.00,0.08,0.11,-0.05,8826,22.32
-0.00,0.00,1.00,0.06,0.04,0.02,8830,22.31
0.00,0.00,1.00,0.05,-0.02,0.07,8834,22.31
0.00,-0.00,1.00,0.05,-0.11,0.10,8838,22.31
0.00,-0.00,1.00,0.06,-0.09,0.07,8842,22.34
-0.00,-0.00,1.00,0.08,0.03,0.01,8845,22.34
-0.00,-0.00,1.00,0.08,0.09,-0.01,8849,22.34
-0.00,-0.00,1.00,0.03,0.17,0.01,8853,22.31
0.00,-0.00,1.00,0.02,0.18,0.01,8856,22.31
-0.00,-0.00,1.00,-0.03,0.17,0.01,8860,22.31
-0.00,-0.00,1.00,-0.04,0.17,0.01,8864,22.33
-0.00,0.00,1.00,-0.07,0.18,-0.01,8867,22.33
-0.00,0.00,1.00,-0.09,0.18,-0.02,8871,22.33
-0.00,0.00,1.00,-0.09,0.15,-0.04,8876,22.29
-0.00,0.00,1.00,-0.07,0.14,-0.04,8879,22.29
-0.00,-0.00,1.00,-0.04,0.11,-0.01,8883,22.29
-0.00,-0.00,1.00,-0.01,0.09,0.01,8887,22.32
