X,Y,Z,Timestamp
-33,-126,-37,3521
15,-150,-51,3529
1,-34,-109,3536
-25,-74,-153,3545
-33,-26,-55,3553
-38,21,-5,3561
-77,-9,7,3568
10,55,30,3576
-14,1,99,3585
-28,3,0,3593
-17,0,-89,3600
-1,-113,5,3608
-129,-37,33,3616
-9,-59,46,3624
-116,-31,64,3632
-78,-1,42,3640
-89,7,-80,3648
-56,15,42,3656
-120,15,88,3663
-124,-17,28,3672
-101,-43,-38,3680
-55,3,-2,3688
-53,5,40,3695
-131,39,38,3703
-20,47,-104,3712
-115,29,-30,3720
-85,73,18,3728
-7,1,16,3735
1,-8,65,3743
-138,38,-136,3751
-96,9,-32,3759
-124,28,-50,3767
-95,73,8,3775
-82,-24,-78,3783
-83,23,10,3790
-128,46,-184,3799
-124,50,-98,3807
-45,99,-28,3814
-162,107,-31,3822
-151,36,-3,3830
-112,60,-160,3838
-114,20,-40,3847
-112,18,-50,3854
-126,96,23,3862
-183,109,-95,3870
-113,117,133,3878
-111,30,-38,3886
-122,35,157,3894
-116,114,29,3902
-114,31,-149,3910
-82,71,47,3917
-53,63,-42,3926
-199,67,-20,3934
-127,133,21,3942
-105,112,121,3949
-169,73,-41,3957
-145,176,-8,3965
-148,119,-104,3974
-80,152,-131,3981
-178,80,-136,3989
-146,87,101,3997
-116,154,-2,4005
-243,135,87,4013
-135,172,12,4021
-168,184,42,4029
-218,108,21,4037
-137,148,31,4044
-85,101,-24,4052
-136,220,36,4061
-136,155,-35,4069
-144,137,-3,4076
-80,154,-73,4084
-130,88,21,4092
-89,235,60,4101
-183,100,-45,4108
-123,190,-138,4116
-114,174,29,4124
-172,243,81,4132
-106,165,49,4140
-289,203,68,4148
-205,189,65,4156
-203,219,51,4164
-212,197,35,4171
-141,240,43,4179
-114,254,-102,4188
-165,176,26,4196
-189,112,-36,4203
-200,167,75,4211
-165,191,-32,4219
-105,138,-73,4228
-122,118,-22,4235
-145,126,-97,4243
-242,105,-129,4251
-206,155,116,4259
-187,238,-60,4267
-160,251,-12,4275
-173,203,76,4283
-191,179,-62,4291
-167,259,-11,4298
-131,246,36,4306
-221,229,41,4315
-243,201,-65,4323
-206,237,89,4330
-104,225,-32,4338
-155,261,-63,4346
-213,242,1,4355
-144,194,-10,4362
-186,208,129,4370
-287,177,110,4378
-176,214,-68,4386
-269,202,-109,4393
-183,253,34,4402
-181,135,-77,4410
-180,212,-42,4418
-118,124,-42,4425
-280,164,-54,4433
-218,157,-8,4442
-222,135,35,4450
-208,215,-44,4457
-310,204,26,4465
-266,257,-30,4473
-272,222,-47,4481
-177,250,-39,4489
-193,187,-41,4497
-200,269,-76,4505
-279,349,99,4513
-265,376,-4,4520
-104,362,-12,4529
-177,280,-28,4537
-232,316,88,4544
-249,327,46,4552
-185,252,-40,4560
-192,382,96,4569
-195,295,-45,4577
-208,234,36,4584
-289,301,-70,4592
-194,256,1,4600
-254,247,-7,4608
-301,292,-102,4616
-269,280,-35,4624
-206,274,-66,4632
-348,168,-70,4640
-220,258,-36,4647
-244,310,-57,4656
-246,229,-56,4664
-292,310,-18,4672
-272,301,2,4679
-194,321,58,4687
-231,262,61,4696
-318,281,165,4704
-215,267,-6,4711
-285,263,46,4719
-286,279,49,4727
-227,278,-40,4734
-299,268,-29,4744
-266,307,45,4751
-176,325,-3,4759
-204,268,25,4767
-234,252,-97,4774
-268,249,-139,4783
-236,222,-68,4791
-275,246,111,4799
-315,231,-32,4806
-248,248,0,4814
-213,321,-26,4823
-289,228,-51,4831
-242,324,124,4838
-217,340,31,4846
-244,281,-20,4854
-332,317,15,4861
-177,283,-70,4870
-156,306,20,4878
-253,372,82,4886
-311,367,65,4894
-347,355,-44,4901
-235,284,-87,4910
-198,339,-26,4918
-261,346,-21,4926
-284,345,28,4933
-270,285,-14,4941
-245,251,-99,4950
-167,304,-137,4957
-248,308,-94,4965
-211,313,-96,4973
-268,316,-133,4981
-302,284,2,4989
-230,337,-40,4997
-315,324,19,5005
-233,302,-115,5013
-285,330,147,5020
-291,350,53,5028
-271,394,116,5037
-240,291,105,5045
-298,249,62,5053
-297,384,19,5060
-281,364,86,5068
-343,413,2,5076
-303,251,11,5084
-281,280,-8,5092
-239,331,-103,5100
-276,390,-20,5108
-318,462,-72,5116
-267,384,-84,5124
-265,282,20,5132
-379,344,39,5140
-326,329,22,5148
-332,360,-95,5155
-261,333,-47,5164
-213,335,79,5172
-311,313,24,5180
-349,326,-29,5187
-313,318,-94,5195
-317,281,66,5203
-263,427,72,5212
-252,344,-5,5219
-332,339,-3,5227
-257,350,17,5235
-275,294,4,5243
-293,355,-16,5251
-225,259,-21,5259
-252,295,-74,5267
-287,370,-91,5274
-242,335,-12,5282
-328,352,28,5291
-243,204,51,5299
-322,312,-53,5307
-255,382,-2,5314
-304,302,-7,5322
-251,395,-80,5330
-301,295,-51,5338
-262,419,-123,5346
-251,398,2,5354
-381,277,18,5362
-265,405,-8,5369
-284,393,74,5378
-306,403,127,5386
-303,347,-55,5394
-299,390,4,5402
-314,359,44,5409
-276,312,-26,5417
-281,426,-96,5426
-294,320,-64,5434
-309,403,-32,5441
-208,307,-3,5449
-319,332,-119,5457
-267,368,-28,5465
-225,326,14,5473
-212,390,51,5481
-300,357,-48,5489
-241,290,-83,5497
-344,352,-33,5505
-338,437,-26,5513
-340,360,-58,5521
-277,370,105,5529
-268,408,61,5536
-325,424,31,5544
-248,396,35,5553
-388,449,-27,5561
-301,363,-56,5568
-290,311,-71,5576
-336,358,19,5584
-310,375,73,5592
-294,349,-70,5600
-369,337,22,5608
-315,293,-68,5616
-287,325,20,5624
-224,251,1,5632
-308,265,9,5640
-340,399,-71,5648
-274,332,-53,5655
-282,371,70,5663
-273,349,-11,5671
-379,354,-46,5680
-290,388,-15,5687
-255,352,-5,5695
-283,377,147,5703
-399,379,62,5711
-371,289,39,5720
-315,332,-35,5727
-289,422,26,5735
-244,379,38,5743
-255,408,169,5750
-369,401,-23,5758
-307,347,14,5767
-227,417,-94,5775
-243,331,-40,5782
-351,377,-81,5790
-383,392,-74,5798
-254,291,11,5807
-257,393,33,5815
-329,382,-54,5822
-371,386,-79,5830
-347,393,-41,5838
-263,434,30,5846
-326,409,-37,5854
-343,383,-121,5862
-330,371,5,5870
-318,398,75,5877
-390,381,-186,5885
-295,356,5,5894
-294,385,41,5902
-310,393,116,5910
-341,384,14,5917
-297,315,-86,5925
-396,405,27,5934
-371,392,-76,5942
-333,365,-45,5949
-258,479,4,5957
-302,299,-176,5965
-296,399,-34,5974
-381,391,41,5981
-301,411,48,5989
-364,450,-142,5997
-221,399,3,6004
-349,438,31,6012
-223,339,34,6021
-289,409,-141,6029
-387,388,-40,6037
-331,376,14,6044
-242,370,0,6052
-330,407,-23,6061
-316,351,87,6068
-352,383,-30,6076
-288,403,-93,6084
-294,385,-41,6092
-351,386,-11,6100
-335,437,-38,6108
-319,349,5,6116
-275,377,-17,6124
-316,354,-61,6132
-305,406,-83,6139
-289,403,-53,6148
-371,375,-26,6156
-353,404,20,6163
-291,402,36,6171
-348,416,-1,6179
-278,399,10,6188
-264,421,-128,6196
-367,396,3,6203
-379,382,78,6211
-304,452,-7,6219
-276,388,50,6226
-301,402,-95,6235
-311,377,52,6243
-288,385,54,6251
-327,344,95,6259
-287,401,30,6266
-331,458,15,6275
-384,388,87,6283
-773,345,-80,6290
-47,329,-198,6298
606,471,39,6306
-309,324,47,6315
-957,345,-81,6323
-328,357,72,6330
-97,368,40,6338
-671,473,11,6346
-680,485,-17,6353
-121,571,37,6362
10,518,87,6370
-353,459,137,6378
-695,393,-35,6386
-415,490,40,6393
-244,408,62,6402
-335,455,-59,6410
-334,407,20,6418
-242,358,-86,6425
-335,330,-3,6433
-489,288,134,6441
-436,385,71,6449
-337,344,-135,6457
-234,357,-133,6465
-205,377,-107,6473
-398,390,-92,6481
-440,329,-156,6489
-396,439,-60,6497
-269,391,-5,6505
-272,428,-102,6512
-329,366,25,6520
-383,392,-21,6529
-314,368,69,6537
-396,431,69,6544
-336,388,25,6552
-338,350,-46,6560
-386,388,-2,6568
-328,447,99,6576
-336,297,14,6584
-386,410,-56,6592
-366,301,-98,6600
-325,419,-48,6608
-363,446,5,6616
-276,463,4,6624
-414,350,5,6632
-337,459,62,6639
-443,345,-26,6647
-368,425,73,6656
-391,336,-91,6664
-385,401,-33,6671
-388,351,7,6679
-337,351,-141,6687
-329,393,-30,6695
-307,406,-92,6703
-328,393,35,6711
-319,398,-41,6719
-319,395,63,6727
-406,392,-85,6735
-375,393,-19,6743
-409,371,-13,6751
-375,399,55,6759
-357,439,21,6766
-315,432,42,6774
-295,439,-118,6782
-389,390,86,6791
-378,336,-62,6798
-367,415,-88,6806
-321,391,-57,6814
-367,374,32,6822
-315,367,-92,6831
-308,440,-32,6838
-267,465,-39,6846
-364,412,-30,6854
-391,384,77,6861
-393,374,-42,6870
-288,352,0,6878
-316,322,51,6886
-296,345,19,6893
-340,379,58,6901
-349,396,-6,6909
-382,456,141,6918
-385,420,-77,6926
-411,473,65,6933
-341,399,58,6941
-333,557,-60,6949
-324,408,-77,6957
-380,382,41,6965
-395,405,-4,6973
-412,365,-117,6981
-384,259,21,6988
-363,416,58,6996
-385,339,-62,7005
-360,398,-35,7013
-318,366,-81,7020
-312,418,-20,7028
-377,388,66,7036
-338,460,-125,7045
-334,484,-10,7052
-376,411,-128,7060
-371,385,12,7068
-392,421,-106,7076
-400,405,97,7084
-384,379,-26,7092
-316,452,24,7100
-308,429,95,7108
-373,403,-124,7116
-333,373,-14,7123
-382,395,75,7132
-276,417,-50,7140
-406,430,-21,7148
-380,379,-81,7155
-340,399,-121,7163
-287,422,-14,7172
-373,427,11,7180
-409,387,67,7187
-385,348,-61,7195
-253,413,13,7203
-419,396,-59,7211
-327,323,-15,7219
-336,427,-89,7227
-331,334,35,7235
-369,368,57,7242
-330,411,7,7250
-382,457,-25,7259
-411,365,91,7267
-292,439,-42,7274
-297,387,-43,7282
-305,373,-18,7290
-403,354,37,7299
-421,355,14,7306
-284,335,-21,7314
-328,391,-38,7322
-404,440,40,7330
-438,381,-27,7339
-324,484,-43,7346
-351,379,32,7354
-383,488,-77,7362
-318,432,-52,7369
-410,421,-12,7377
-375,479,-52,7386
-406,428,13,7394
-377,387,5,7401
-433,394,-19,7409
-329,442,79,7417
-406,437,-70,7426
-293,404,94,7433
-336,384,54,7441
-407,346,162,7449
